"","lngitude","latitude","pollinator"
"1107",-115.8501062,35.42320348,"antithetica"
"1102",-115.884674,35.50442997,"antithetica"
"1108",-115.8840261,35.57749025,"antithetica"
"1218",-115.8601175,36.15459335,"antithetica"
"1235",-115.8646066,36.23598184,"antithetica"
"1252",-115.8629418,36.2727706,"antithetica"
"1103",-115.8306408,35.34553093,"antithetica"
"1116",-115.8169291,35.39683519,"antithetica"
"1118",-115.8242154,35.42510902,"antithetica"
"1128",-115.8036768,35.45233436,"antithetica"
"1177",-115.8187186,35.74670817,"antithetica"
"1148",-115.8414452,35.76727189,"antithetica"
"1266",-115.805466,36.09992047,"antithetica"
"1231",-115.8413339,36.14863581,"antithetica"
"1271",-115.8271987,36.16014608,"antithetica"
"1296",-115.8394725,36.24934511,"antithetica"
"1300",-115.8456203,36.29394216,"antithetica"
"1105",-115.7642071,35.13330959,"antithetica"
"1115",-115.7540117,35.15341117,"antithetica"
"1126",-115.752303,35.22140458,"antithetica"
"1121",-115.7978117,35.37320429,"antithetica"
"1134",-115.7692231,35.4101983,"antithetica"
"1137",-115.7758113,35.46171119,"antithetica"
"1162",-115.7632129,35.50430972,"antithetica"
"1146",-115.7919075,35.55620806,"antithetica"
"1201",-115.7606124,35.64961022,"antithetica"
"1195",-115.7851235,35.69989757,"antithetica"
"1198",-115.7808229,35.70504714,"antithetica"
"1367",-115.7555165,36.06269526,"antithetica"
"1316",-115.7959709,36.12889927,"antithetica"
"2499",-115.7628069,36.19835518,"antithetica"
"2508",-115.7518257,36.2001981,"antithetica"
"1120",-115.7387117,35.14961018,"antithetica"
"1139",-115.7128961,35.24333443,"antithetica"
"1140",-115.709612,35.26400988,"antithetica"
"1159",-115.7180127,35.31550086,"antithetica"
"1182",-115.7044062,35.38160652,"antithetica"
"1143",-115.746513,35.4067099,"antithetica"
"1200",-115.7171092,35.48100881,"antithetica"
"1184",-115.7409123,35.50471013,"antithetica"
"1217",-115.7177187,35.64217391,"antithetica"
